iter	Passed	Remaining
170	395	1915
171	396	1910
172	398	1903
173	399	1896
174	401	1890
175	402	1882
176	403	1875
177	404	1870
178	406	1862
179	407	1858
180	409	1853
181	411	1849
182	412	1841
183	414	1837
184	416	1833
185	417	1825
186	417	1815
187	418	1808
188	420	1804
189	422	1800
190	423	1795
191	424	1787
192	426	1783
193	428	1779
194	430	1775
195	430	1766
196	431	1759
197	432	1750
198	433	1746
199	435	1743
200	436	1735
201	437	1727
202	438	1722
203	440	1719
204	442	1714
205	442	1707
206	444	1703
207	446	1699
208	447	1692
209	448	1688
210	449	1680
211	451	1676
212	452	1673
213	454	1670
214	455	1663
215	456	1656
216	458	1653
217	459	1649
218	461	1646
219	463	1643
220	465	1640
221	466	1633
222	467	1629
223	468	1623
224	470	1619
225	471	1616
226	477	1625
227	477	1618
228	479	1614
229	481	1611
230	483	1607
231	484	1604
232	486	1602
233	488	1598
234	490	1595
235	492	1592
236	493	1587
237	493	1580
238	495	1576
239	496	1573
240	498	1570
241	500	1567
242	502	1564
243	503	1560
244	505	1558
245	507	1554
246	507	1548
247	509	1544
248	511	1541
249	512	1538
250	514	1536
251	516	1532
252	518	1529
253	519	1526
254	521	1522
255	522	1519
256	524	1516
257	526	1513
258	528	1510
259	529	1508
260	531	1505
261	533	1502
262	535	1500
263	537	1497
264	538	1494
265	540	1492
266	542	1488
267	543	1485
268	545	1482
269	547	1479
270	549	1477
271	550	1474
272	552	1470
273	554	1468
274	555	1465
275	557	1463
276	559	1460
277	561	1457
278	562	1454
279	564	1452
280	566	1449
281	568	1446
282	570	1444
283	571	1441
284	572	1436
285	574	1433
286	575	1430
287	577	1427
288	579	1425
289	580	1422
290	582	1419
291	584	1416
292	586	1414
293	587	1411
294	589	1409
295	591	1406
296	593	1404
297	594	1401
298	596	1399
299	598	1396
300	600	1393
301	602	1391
302	604	1389
303	605	1387
304	607	1384
305	609	1382
306	611	1379
307	613	1377
308	614	1374
309	616	1372
310	618	1370
311	620	1368
312	622	1366
313	624	1364
314	626	1363
315	629	1361
316	630	1358
317	632	1356
318	634	1354
319	636	1353
320	638	1351
321	640	1349
322	642	1347
323	644	1345
324	646	1343
325	648	1341
326	650	1338
327	652	1336
328	654	1334
329	655	1331
330	658	1329
331	659	1327
332	661	1324
333	663	1322
334	664	1319
335	666	1317
336	668	1315
337	670	1312
338	671	1310
339	673	1307
340	675	1304
341	676	1302
342	678	1299
343	680	1297
344	681	1294
345	683	1292
346	685	1289
347	687	1287
348	688	1284
349	690	1282
350	691	1279
351	693	1276
352	695	1274
353	697	1272
354	698	1269
355	700	1267
356	702	1265
357	704	1263
358	706	1260
359	707	1258
360	709	1255
361	711	1253
362	712	1251
363	714	1249
364	716	1246
365	718	1244
366	720	1242
367	721	1239
368	723	1237
369	725	1235
370	727	1233
371	728	1230
372	729	1226
373	730	1223
374	731	1219
375	733	1216
376	734	1213
377	736	1211
378	738	1209
379	739	1207
380	741	1204
381	743	1202
382	745	1200
383	747	1198
384	748	1196
385	750	1194
386	752	1192
387	754	1189
388	755	1187
389	757	1184
390	759	1182
391	761	1180
392	762	1178
393	764	1176
394	766	1173
395	768	1171
396	769	1169
397	771	1167
398	773	1164
399	775	1162
400	776	1160
401	778	1158
402	780	1156
403	782	1153
404	783	1151
405	785	1149
406	787	1146
407	787	1143
408	788	1139
409	790	1137
410	791	1134
411	792	1131
412	794	1128
413	795	1126
414	797	1124
415	799	1122
416	801	1120
417	803	1118
418	804	1115
419	806	1113
420	807	1110
421	808	1106
422	809	1104
423	811	1102
424	813	1100
425	815	1098
426	816	1096
427	818	1093
428	820	1091
429	821	1089
430	823	1087
431	825	1085
432	827	1082
433	828	1080
434	830	1078
435	832	1076
436	832	1073
437	834	1071
438	836	1068
439	838	1066
440	839	1064
441	841	1062
442	843	1060
443	845	1058
444	845	1054
445	847	1052
446	848	1050
447	850	1048
448	852	1046
449	854	1043
450	855	1041
451	857	1039
452	859	1037
453	861	1035
454	863	1033
